SNPS,MAPPED_GENE,DISEASE/TRAIT,P-VALUE,OR or BETA,95% CI (TEXT),STUDY ACCESSION,PUBMEDID
rs11108094,USP44,Type 2 diabetes,1e-10,0.0601,[0.042-0.078] unit decrease,GCST010555,32541925
rs113036477,RMST,Type 2 diabetes,4e-13,0.0715,[0.052-0.091] unit increase,GCST010555,32541925
rs3764002,WSCD2,Type 2 diabetes,3e-14,0.0396,[0.029-0.05] unit increase,GCST010555,32541925
rs34965774,KSR2 - RFC5,Type 2 diabetes,1e-14,0.0521,[0.039-0.065] unit decrease,GCST010555,32541925
rs56348580,HNF1A,Type 2 diabetes,1.9999999999999998e-30,0.0575,[0.048-0.067] unit increase,GCST010555,32541925
rs12820906,PITPNM2,Type 2 diabetes,2e-15,0.0433,[0.033-0.054] unit decrease,GCST010555,32541925
rs12823740,ZNF664,Type 2 diabetes,1e-17,0.041,[0.032-0.05] unit increase,GCST010555,32541925
rs12823740,RFLNA,Type 2 diabetes,1e-17,0.041,[0.032-0.05] unit increase,GCST010555,32541925
rs11614914,FBRSL1,Type 2 diabetes,5e-15,0.0389,[0.029-0.049] unit decrease,GCST010555,32541925
rs34584161,RNF6,Type 2 diabetes,4e-22,0.0521,[0.042-0.063] unit decrease,GCST010555,32541925
rs3742305,HMGB1,Type 2 diabetes,2e-08,0.03,[0.02-0.04] unit decrease,GCST010555,32541925
rs576674,TOMM22P3 - KL,Type 2 diabetes,1.0000000000000001e-23,0.0612,[0.049-0.073] unit increase,GCST010555,32541925
rs9316500,DLEU7,Type 2 diabetes,1e-20,0.0473,[0.037-0.057] unit decrease,GCST010555,32541925
rs9316500,DLEU1,Type 2 diabetes,1e-20,0.0473,[0.037-0.057] unit decrease,GCST010555,32541925
rs9563574,RNA5SP30 - LINC02338,Type 2 diabetes,2e-11,0.0406,[0.029-0.052] unit decrease,GCST010555,32541925
rs11616380,LINC01080,Type 2 diabetes,7.999999999999999e-54,0.0793,[0.069-0.089] unit increase,GCST010555,32541925
rs1475655,PPIAP23 - MIR17HG,Type 2 diabetes,2e-16,0.0436,[0.033-0.054] unit decrease,GCST010555,32541925
rs9555581,LINC00370,Type 2 diabetes,4e-10,0.0296,[0.02-0.039] unit increase,GCST010555,32541925
rs17522122,AKAP6,Type 2 diabetes,1e-13,0.0343,[0.025-0.043] unit decrease,GCST010555,32541925
rs8018512,CLEC14A - LINC00639,Type 2 diabetes,1e-12,0.0369,[0.027-0.047] unit increase,GCST010555,32541925
rs10145154,NRXN3,Type 2 diabetes,1e-22,0.0546,[0.044-0.066] unit decrease,GCST010555,32541925
rs8010382,PPP4R3A,Type 2 diabetes,6e-12,0.0322,[0.023-0.041] unit increase,GCST010555,32541925
rs12890750,MARK3,Type 2 diabetes,3e-09,0.0284,[0.019-0.038] unit increase,GCST010555,32541925
rs12912777,RASGRP1,Type 2 diabetes,2e-15,0.0594,[0.045-0.074] unit decrease,GCST010555,32541925
rs484943,BMF,Type 2 diabetes,8e-11,0.0332,[0.023-0.043] unit decrease,GCST010555,32541925
rs2289739,LTK,Type 2 diabetes,2e-14,0.0498,[0.037-0.063] unit decrease,GCST010555,32541925
rs10750397,LINC02098 - ETS1,Type 2 diabetes,2e-21,0.04,[0.032-0.048] unit decrease,GCST010557,32541925
rs12986742,LINC01122,Type 2 diabetes,6e-21,0.0353,[0.028-0.043] unit increase,GCST010557,32541925
rs3747207,PNPLA3,Type 2 diabetes,4e-21,0.0412,[0.033-0.05] unit decrease,GCST010557,32541925
rs66815886,ADAMTS9-AS2,Type 2 diabetes,1e-21,0.04,[0.032-0.048] unit increase,GCST010557,32541925
rs79310463,KSR2,Type 2 diabetes,7e-21,0.05,[0.04-0.06] unit decrease,GCST010557,32541925
rs2280141,PLEKHA1 - ARMS2,Type 2 diabetes,6e-21,0.0455,[0.036-0.055] unit decrease,GCST010557,32541925
rs1426371,WSCD2,Type 2 diabetes,1e-21,0.0429,[0.034-0.052] unit increase,GCST010557,32541925
rs67269808,KRT18P24 - CHCHD2P9,Type 2 diabetes,1e-20,0.0731,[0.058-0.088] unit decrease,GCST010557,32541925
rs12789028,LTBP3,Type 2 diabetes,4e-20,0.0459,[0.036-0.056] unit decrease,GCST010557,32541925
rs2115107,LRRC8E - MAP2K7,Type 2 diabetes,2e-20,0.0357,[0.028-0.043] unit decrease,GCST010557,32541925
rs13268508,HSF1,Type 2 diabetes,4e-20,0.0376,[0.03-0.046] unit decrease,GCST010557,32541925
rs4923864,CCDC9B - PHGR1,Type 2 diabetes,2e-20,0.0568,[0.045-0.069] unit increase,GCST010557,32541925
rs348330,ABCB10,Type 2 diabetes,3e-20,0.0497,[0.039-0.06] unit increase,GCST010557,32541925
rs72926932,TCF4,Type 2 diabetes,4e-20,0.0733,[0.058-0.089] unit increase,GCST010557,32541925
rs917195,CRHR2,Type 2 diabetes,1e-20,0.0424,[0.033-0.051] unit increase,GCST010557,32541925
rs56823429,CMIP,Type 2 diabetes,3e-20,0.0418,[0.033-0.051] unit increase,GCST010557,32541925
rs11048457,ITPR2-AS1,Type 2 diabetes,2e-19,0.0385,[0.03-0.047] unit increase,GCST010557,32541925
rs12603589,BPTF,Type 2 diabetes,1e-19,0.0421,[0.033-0.051] unit increase,GCST010557,32541925
rs11614914,FBRSL1,Type 2 diabetes,3e-19,0.0394,[0.031-0.048] unit decrease,GCST010557,32541925
rs1650505,LINC02227 - EBF1,Type 2 diabetes,2e-19,0.0409,[0.032-0.05] unit decrease,GCST010557,32541925
rs11583755,KLHL21,Type 2 diabetes,1e-19,0.0369,[0.029-0.045] unit increase,GCST010557,32541925
rs6066138,EYA2,Type 2 diabetes,6e-19,0.042,[0.033-0.051] unit increase,GCST010557,32541925
rs3802219,TRPS1,Type 2 diabetes,1e-19,0.0357,[0.028-0.043] unit decrease,GCST010557,32541925
rs10879261,TSPAN8,Type 2 diabetes,7e-19,0.0341,[0.027-0.042] unit increase,GCST010557,32541925
rs80196932,NEPNP - NUS1,Type 2 diabetes,1e-19,0.0479,[0.038-0.058] unit decrease,GCST010557,32541925
rs7732130,ZBED3-AS1,Type 2 diabetes,1.9999999999999998e-32,0.0554,[0.046-0.065] unit increase,GCST010557,32541925
rs7732130,PDE8B,Type 2 diabetes,1.9999999999999998e-32,0.0554,[0.046-0.065] unit increase,GCST010557,32541925
rs6975279,AUTS2,Type 2 diabetes,3.9999999999999997e-25,0.0431,[0.035-0.051] unit decrease,GCST010557,32541925
rs6813195,RPS3AP18 - TMEM154,Type 2 diabetes,8e-31,0.0463,[0.038-0.054] unit increase,GCST010557,32541925
rs56337234,TACC3 - FGFR3,Type 2 diabetes,3e-25,0.0426,[0.035-0.051] unit increase,GCST010557,32541925
rs3887925,ST6GAL1,Type 2 diabetes,9.999999999999999e-26,0.0401,[0.033-0.048] unit decrease,GCST010557,32541925
rs3798519,TFAP2B,Type 2 diabetes,6e-24,0.0474,[0.038-0.057] unit increase,GCST010557,32541925
rs11759026,CENPW - MIR588,Type 2 diabetes,1.0000000000000001e-24,0.0585,[0.047-0.07] unit increase,GCST010557,32541925
rs676387,HSD17B1,Type 2 diabetes,3e-24,0.0416,[0.034-0.05] unit decrease,GCST010557,32541925
rs676387,HSD17B1-AS1,Type 2 diabetes,3e-24,0.0416,[0.034-0.05] unit decrease,GCST010557,32541925
rs10188334,LINC01875 - TMEM18,Type 2 diabetes,2.0000000000000002e-24,0.0544,[0.044-0.065] unit increase,GCST010557,32541925
rs9308614,LINC01101 - Y_RNA,Type 2 diabetes,5e-23,0.057,[0.046-0.068] unit decrease,GCST010557,32541925
rs58542926,TM6SF2,Type 2 diabetes,2.0000000000000002e-23,0.0721,[0.058-0.086] unit decrease,GCST010557,32541925
rs9384,GCDH,Type 2 diabetes,8.000000000000001e-23,0.0404,[0.032-0.048] unit increase,GCST010557,32541925
rs9384,SYCE2,Type 2 diabetes,8.000000000000001e-23,0.0404,[0.032-0.048] unit increase,GCST010557,32541925
rs730497,GCK,Type 2 diabetes,9.000000000000001e-29,0.0552,[0.045-0.065] unit decrease,GCST010557,32541925
rs4805881,PEPD,Type 2 diabetes,8e-22,0.0379,[0.03-0.046] unit decrease,GCST010557,32541925
rs6495182,PTPN9,Type 2 diabetes,2e-22,0.0405,[0.032-0.049] unit increase,GCST010557,32541925
rs9316500,DLEU7,Type 2 diabetes,1e-22,0.0401,[0.032-0.048] unit decrease,GCST010557,32541925
rs9316500,DLEU1,Type 2 diabetes,1e-22,0.0401,[0.032-0.048] unit decrease,GCST010557,32541925
rs12192275,RPS4XP9 - RSPO3,Type 2 diabetes,4e-22,0.0482,[0.038-0.058] unit increase,GCST010557,32541925
rs2820446,LYPLAL1-AS1 - ZC3H11B,Type 2 diabetes,2e-22,0.0407,[0.032-0.049] unit decrease,GCST010557,32541925
rs244415,NFAT5,Type 2 diabetes,2e-22,0.0401,[0.032-0.048] unit increase,GCST010557,32541925
rs8043085,RASGRP1,Type 2 diabetes,9e-22,0.0407,[0.032-0.049] unit decrease,GCST010557,32541925
rs9873519,SLC12A8,Type 2 diabetes,3e-22,0.0373,[0.03-0.045] unit decrease,GCST010557,32541925
rs529565,ABO,Type 2 diabetes,8e-27,0.0415,[0.034-0.049] unit increase,GCST010557,32541925
rs3130283,AGPAT1,Type 2 diabetes,6e-27,0.0617,[0.051-0.073] unit increase,GCST010557,32541925
rs3130283,PPT2-EGFL8,Type 2 diabetes,6e-27,0.0617,[0.051-0.073] unit increase,GCST010557,32541925
rs4709746,QKI - RN7SL366P,Type 2 diabetes,2e-21,0.0565,[0.045-0.068] unit increase,GCST010557,32541925
rs3918298,CCND1,Type 2 diabetes,7.999999999999999e-25,0.1038,[0.084-0.124] unit increase,GCST010557,32541925
rs13434089,ATXN7,Type 2 diabetes,4e-31,0.0607,[0.051-0.071] unit decrease,GCST010557,32541925
rs34341,ANKDD1B,Type 2 diabetes,5e-25,0.0403,[0.033-0.048] unit increase,GCST010557,32541925
rs9379084,RREB1,Type 2 diabetes,5e-31,0.0715,[0.059-0.084] unit increase,GCST010557,32541925
rs2290203,PRC1-AS1,Type 2 diabetes,2e-31,0.0506,[0.042-0.059] unit decrease,GCST010557,32541925
rs2290203,PRC1,Type 2 diabetes,2e-31,0.0506,[0.042-0.059] unit decrease,GCST010557,32541925
rs4237150,GLIS3,Type 2 diabetes,7.000000000000001e-31,0.0433,[0.036-0.051] unit decrease,GCST010557,32541925
rs146886108,ANKH,Type 2 diabetes,2e-31,0.3814,[0.32-0.45] unit increase,GCST010557,32541925
rs10938398,PRDX4P1 - THAP12P9,Type 2 diabetes,9.999999999999999e-31,0.0445,[0.037-0.052] unit decrease,GCST010557,32541925
rs4865796,ARL15,Type 2 diabetes,5e-30,0.0481,[0.04-0.056] unit decrease,GCST010557,32541925
rs8071043,ZZEF1,Type 2 diabetes,5e-30,0.0465,[0.038-0.055] unit increase,GCST010557,32541925
rs7163757,NPM1P47 - C2CD4B,Type 2 diabetes,6e-30,0.043,[0.036-0.05] unit increase,GCST010557,32541925
rs2453051,NOTCH2,Type 2 diabetes,1.0000000000000001e-23,0.0609,[0.049-0.073] unit increase,GCST010557,32541925
rs79090772,FAF1,Type 2 diabetes,1.0000000000000001e-28,0.0728,[0.06-0.086] unit decrease,GCST010557,32541925
rs12625671,HNF4A-AS1,Type 2 diabetes,6e-28,0.0603,[0.05-0.071] unit increase,GCST010557,32541925
rs12625671,HNF4A,Type 2 diabetes,6e-28,0.0603,[0.05-0.071] unit increase,GCST010557,32541925
rs2723065,LINC02576,Type 2 diabetes,7e-28,0.0422,[0.035-0.05] unit decrease,GCST010557,32541925
rs2723065,LINC02245,Type 2 diabetes,7e-28,0.0422,[0.035-0.05] unit decrease,GCST010557,32541925
rs9515905,PPIAP23 - MIR17HG,Type 2 diabetes,2e-27,0.0472,[0.039-0.056] unit decrease,GCST010557,32541925
rs7156625,NRXN3,Type 2 diabetes,5e-27,0.053,[0.043-0.063] unit decrease,GCST010557,32541925
rs55857387,FAM234A,Type 2 diabetes,2e-21,0.0441,[0.035-0.053] unit decrease,GCST010557,32541925
rs1412234,LINGO2,Type 2 diabetes,4e-21,0.0397,[0.031-0.048] unit increase,GCST010557,32541925
rs10808671,NDUFAF6,Type 2 diabetes,2e-21,0.0358,[0.028-0.043] unit decrease,GCST010557,32541925
rs12454712,BCL2,Type 2 diabetes,2e-27,0.0424,[0.035-0.05] unit decrease,GCST010557,32541925
rs56348580,HNF1A,Type 2 diabetes,1e-27,0.0507,[0.041-0.06] unit increase,GCST010557,32541925
rs35895680,GIP - IGF2BP1,Type 2 diabetes,8e-27,0.0499,[0.041-0.059] unit increase,GCST010557,32541925
rs8192675,SLC2A2,Type 2 diabetes,4e-27,0.0452,[0.037-0.053] unit decrease,GCST010557,32541925
rs429358,APOE,Type 2 diabetes,1.9999999999999998e-26,0.0585,[0.048-0.069] unit decrease,GCST010557,32541925
rs1127215,PTGFRN,Type 2 diabetes,1.9999999999999998e-26,0.0412,[0.034-0.049] unit increase,GCST010557,32541925
rs362307,HTT,Type 2 diabetes,3e-08,0.048,[0.031-0.065] unit decrease,GCST010557,32541925
rs36111056,FSD2,Type 2 diabetes,1e-08,0.0303,[0.02-0.041] unit increase,GCST010557,32541925
rs36111056,SNHG21,Type 2 diabetes,1e-08,0.0303,[0.02-0.041] unit increase,GCST010557,32541925
rs142385484,FCGRT,Type 2 diabetes,2e-08,0.0336,[0.022-0.045] unit increase,GCST010557,32541925
rs12680217,LINC01605,Type 2 diabetes,2e-08,0.0397,[0.026-0.054] unit decrease,GCST010557,32541925
rs2662390,RAB3C,Type 2 diabetes,1e-08,0.0276,[0.018-0.037] unit decrease,GCST010557,32541925
rs620191,LINC02681 - RNU2-43P,Type 2 diabetes,2e-08,0.0234,[0.015-0.031] unit decrease,GCST010557,32541925
rs4832290,KDM3A,Type 2 diabetes,4e-08,0.0267,[0.017-0.036] unit decrease,GCST010557,32541925
rs1922879,CNTNAP2,Type 2 diabetes,2e-08,0.023,[0.015-0.031] unit increase,GCST010557,32541925
rs12992995,LINC01305,Type 2 diabetes,1e-08,0.0272,[0.018-0.037] unit increase,GCST010557,32541925
rs13107325,SLC39A8,Type 2 diabetes,3e-08,0.0473,[0.03-0.064] unit decrease,GCST010557,32541925
rs3779272,MAGI2,Type 2 diabetes,1e-08,0.0213,[0.014-0.029] unit increase,GCST010557,32541925
rs12494424,SAMMSON,Type 2 diabetes,2e-08,0.0656,[0.043-0.089] unit decrease,GCST010557,32541925
rs6976111,CTTNBP2,Type 2 diabetes,2e-08,0.0258,[0.017-0.035] unit decrease,GCST010557,32541925
rs12892257,ARMH4,Type 2 diabetes,1e-08,0.0288,[0.019-0.039] unit increase,GCST010557,32541925
rs12892257,PSMA3,Type 2 diabetes,1e-08,0.0288,[0.019-0.039] unit increase,GCST010557,32541925
rs12892257,PSMA3-AS1,Type 2 diabetes,1e-08,0.0288,[0.019-0.039] unit increase,GCST010557,32541925
rs7912336,HSPA12A,Type 2 diabetes,1e-08,0.0217,[0.014-0.029] unit increase,GCST010557,32541925
rs2394186,HLA-G - POLR1HASP,Type 2 diabetes,2e-08,0.0271,[0.018-0.037] unit decrease,GCST010557,32541925
rs34506349,AFF3,Type 2 diabetes,1e-08,0.0665,[0.044-0.089] unit increase,GCST010557,32541925
rs10469860,LINC01102 - PANTR1,Type 2 diabetes,4e-08,0.0238,[0.015-0.032] unit decrease,GCST010557,32541925
rs6715901,TTN,Type 2 diabetes,1e-08,0.023,[0.015-0.031] unit increase,GCST010557,32541925
rs1662185,PRDX5 - CCDC88B,Type 2 diabetes,3e-08,0.0226,[0.015-0.031] unit decrease,GCST010557,32541925
rs1877712,PNKD,Type 2 diabetes,5e-08,0.0211,[0.013-0.029] unit increase,GCST010557,32541925
rs34617913,KCTD8 - YIPF7,Type 2 diabetes,3e-08,0.0239,[0.015-0.032] unit decrease,GCST010557,32541925
rs2952858,LINC02465,Type 2 diabetes,1e-08,0.0237,[0.016-0.032] unit decrease,GCST010557,32541925
rs8188241,HCN1 - EMB,Type 2 diabetes,2e-08,0.0232,[0.015-0.031] unit increase,GCST010557,32541925
rs6885157,MGAT1,Type 2 diabetes,5e-08,0.0372,[0.024-0.051] unit increase,GCST010557,32541925
rs538801,SUPT3H,Type 2 diabetes,5e-08,0.0211,[0.013-0.029] unit decrease,GCST010557,32541925
rs12667919,NDUFB9P2 - CAPZA1P4,Type 2 diabetes,4e-08,0.0256,[0.016-0.035] unit decrease,GCST010557,32541925
rs12433335,PRKD1,Type 2 diabetes,2e-08,0.0213,[0.014-0.029] unit decrease,GCST010557,32541925
rs11994255,ELP3 - RPL5P22,Type 2 diabetes,2e-08,0.0239,[0.015-0.032] unit decrease,GCST010557,32541925
rs9958640,ELOCP27 - PPIAP14,Type 2 diabetes,2e-08,0.0236,[0.015-0.032] unit decrease,GCST010557,32541925
rs17747955,NOL4,Type 2 diabetes,2e-08,0.0224,[0.015-0.03] unit increase,GCST010557,32541925
rs1929883,PSAT1 - MTND2P8,Type 2 diabetes,4e-08,0.0275,[0.018-0.037] unit increase,GCST010557,32541925
rs12116935,SH3D21,Type 2 diabetes,2e-08,0.0242,[0.016-0.033] unit increase,GCST010557,32541925
rs12116935,EVA1B,Type 2 diabetes,2e-08,0.0242,[0.016-0.033] unit increase,GCST010557,32541925
rs73167517,LINC02488,Type 2 diabetes,1e-08,0.0411,[0.027-0.055] unit decrease,GCST010557,32541925
rs114136102,UGT3A2 - LMBRD2,Type 2 diabetes,3e-08,0.0631,[0.041-0.085] unit increase,GCST010557,32541925
rs75619936,RFX3,Type 2 diabetes,2e-08,0.0314,[0.02-0.042] unit increase,GCST010557,32541925
rs59020573,SYNC - NHSL3,Type 2 diabetes,1e-08,0.0503,[0.033-0.068] unit decrease,GCST010557,32541925
rs9358912,H4C5 - H2BC8,Type 2 diabetes,2e-08,0.0249,[0.016-0.034] unit increase,GCST010557,32541925
rs10262104,CALCR,Type 2 diabetes,1e-08,0.022,[0.014-0.03] unit increase,GCST010557,32541925
rs2679745,AZIN1,Type 2 diabetes,2e-08,0.0278,[0.018-0.037] unit increase,GCST010557,32541925
rs2679745,MAILR,Type 2 diabetes,2e-08,0.0278,[0.018-0.037] unit increase,GCST010557,32541925
rs11830241,EP400,Type 2 diabetes,1e-08,0.0411,[0.027-0.055] unit decrease,GCST010557,32541925
rs510062,GAPDHP30 - GDF6,Type 2 diabetes,1e-08,0.022,[0.014-0.03] unit decrease,GCST010557,32541925
rs7538321,PM20D1-AS1,Type 2 diabetes,2e-08,0.0287,[0.019-0.039] unit increase,GCST010557,32541925
rs853866,FOXP1-DT - EIF4E3,Type 2 diabetes,3e-08,0.0244,[0.016-0.033] unit increase,GCST010557,32541925
rs62182438,HAT1,Type 2 diabetes,1e-08,0.0257,[0.017-0.035] unit increase,GCST010557,32541925
rs62182438,SLC25A12,Type 2 diabetes,1e-08,0.0257,[0.017-0.035] unit increase,GCST010557,32541925
rs827237,SGPL1,Type 2 diabetes,3e-08,0.0294,[0.019-0.04] unit decrease,GCST010557,32541925
rs10835690,MPPED2-AS1,Type 2 diabetes,2e-08,0.029,[0.019-0.039] unit decrease,GCST010557,32541925
rs35164294,TMEM244 - L3MBTL3,Type 2 diabetes,1e-08,0.0525,[0.034-0.071] unit decrease,GCST010557,32541925
rs146716733,ARID5B,Type 2 diabetes,1e-08,0.0451,[0.03-0.061] unit increase,GCST010557,32541925
rs16907058,NELL1,Type 2 diabetes,5e-08,0.0461,[0.03-0.063] unit decrease,GCST010557,32541925
rs72846863,C6orf89 - PI16,Type 2 diabetes,5e-08,0.0335,[0.022-0.045] unit increase,GCST010557,32541925
rs13288108,LINGO2,Type 2 diabetes,5e-08,0.0274,[0.018-0.037] unit increase,GCST010557,32541925
rs7130522,MAML2,Type 2 diabetes,5e-08,0.0222,[0.014-0.03] unit increase,GCST010557,32541925
rs61967710,HS6ST3,Type 2 diabetes,3e-08,0.0554,[0.036-0.075] unit decrease,GCST010557,32541925
rs372558,UBE2O,Type 2 diabetes,5e-08,0.0213,[0.014-0.029] unit decrease,GCST010557,32541925
rs12140153,PATJ,Type 2 diabetes,5e-08,0.0453,[0.029-0.062] unit increase,GCST010557,32541925
rs113414093,CRYBA2 - MIR375,Type 2 diabetes,2e-08,0.0724,[0.047-0.097] unit decrease,GCST010557,32541925
rs62255926,RFT1,Type 2 diabetes,4e-08,0.0252,[0.016-0.034] unit decrease,GCST010557,32541925
rs7315028,Y_RNA - ALG10B,Type 2 diabetes,2e-08,0.124,[0.081-0.167] unit increase,GCST010556,32541925
rs11172254,KIF5A,Type 2 diabetes,2e-08,0.097,[0.064-0.13] unit increase,GCST010556,32541925
rs10745460,LINC02258 - RPS4XP15,Type 2 diabetes,4e-08,0.079,[0.052-0.106] unit increase,GCST010556,32541925
rs7781440,GRB10 - COBL,Type 2 diabetes,5e-09,0.086,[0.057-0.115] unit decrease,GCST010556,32541925
rs1528287,PTPRQ,Type 2 diabetes,8e-10,0.494,[0.34-0.65] unit decrease,GCST010556,32541925
rs11708067,ADCY5,Type 2 diabetes,2e-11,0.118,[0.083-0.153] unit decrease,GCST010556,32541925
rs9859406,IGF2BP2,Type 2 diabetes,6e-14,0.115,[0.086-0.144] unit decrease,GCST010556,32541925
rs464605,C5orf67,Type 2 diabetes,1e-09,0.077,[0.052-0.102] unit decrease,GCST010556,32541925
rs10305420,GLP1R,Type 2 diabetes,9e-09,0.142,[0.093-0.191] unit increase,GCST010556,32541925
rs6819331,RPS3AP18 - TMEM154,Type 2 diabetes,2e-16,0.0404,[0.031-0.05] unit increase,GCST010555,32541925
rs28819812,LINC02272 - PDGFC,Type 2 diabetes,3e-14,0.0384,[0.028-0.048] unit increase,GCST010555,32541925
rs72695645,ACSL1,Type 2 diabetes,9e-20,0.0611,[0.048-0.074] unit increase,GCST010555,32541925
rs146886108,ANKH,Type 2 diabetes,2e-31,0.39,[0.32-0.46] unit increase,GCST010555,32541925
rs13155752,MRPS30-DT,Type 2 diabetes,1e-11,0.0316,[0.022-0.041] unit increase,GCST010555,32541925
rs152839,PARP8 - LINC02106,Type 2 diabetes,1e-08,0.0263,[0.017-0.035] unit increase,GCST010555,32541925
rs12187734,RPS17P11 - MFSD4BP1,Type 2 diabetes,2e-10,0.0293,[0.02-0.038] unit increase,GCST010555,32541925
rs4865796,ARL15,Type 2 diabetes,5e-21,0.0466,[0.037-0.056] unit decrease,GCST010555,32541925
rs256904,C5orf67,Type 2 diabetes,3e-39,0.0692,[0.059-0.08] unit increase,GCST010555,32541925
rs4976033,PIK3R1 - LINC02198,Type 2 diabetes,2e-09,0.028,[0.019-0.037] unit increase,GCST010555,32541925
rs253412,ANKDD1B,Type 2 diabetes,3e-21,0.0459,[0.036-0.055] unit decrease,GCST010555,32541925
rs6878122,ZBED3-AS1,Type 2 diabetes,5.0000000000000004e-29,0.0554,[0.046-0.065] unit increase,GCST010555,32541925
rs6878122,PDE8B,Type 2 diabetes,5.0000000000000004e-29,0.0554,[0.046-0.065] unit increase,GCST010555,32541925
rs12519500,DMGDH,Type 2 diabetes,2e-15,0.038,[0.029-0.047] unit increase,GCST010555,32541925
rs7719891,RASA1,Type 2 diabetes,9e-09,0.0401,[0.026-0.054] unit increase,GCST010555,32541925
rs75432112,PPIP5K2 - MACIR,Type 2 diabetes,5e-36,0.1344,[0.11-0.16] unit decrease,GCST010555,32541925
rs329122,JADE2,Type 2 diabetes,1e-08,0.0264,[0.017-0.035] unit decrease,GCST010555,32541925
rs890940,LINC02227 - EBF1,Type 2 diabetes,1e-17,0.0484,[0.037-0.059] unit decrease,GCST010555,32541925
rs9379084,RREB1,Type 2 diabetes,4e-22,0.0747,[0.06-0.09] unit increase,GCST010555,32541925
rs7756992,CDKAL1,Type 2 diabetes,6e-128,0.1217,[0.11-0.13] unit increase,GCST010555,32541925
rs3094682,LINC02571,Type 2 diabetes,2.0000000000000002e-23,0.0598,[0.048-0.072] unit increase,GCST010555,32541925
rs9275184,HLA-DQB1 - MTCO3P1,Type 2 diabetes,6e-24,0.0981,[0.079-0.117] unit increase,GCST010555,32541925
rs10305420,GLP1R,Type 2 diabetes,3e-11,0.0316,[0.022-0.041] unit increase,GCST010555,32541925
rs34298980,LRFN2,Type 2 diabetes,4e-09,0.0381,[0.025-0.051] unit decrease,GCST010555,32541925
rs11967262,VEGFA - LINC02537,Type 2 diabetes,2e-15,0.0365,[0.027-0.046] unit increase,GCST010555,32541925
rs3798519,TFAP2B,Type 2 diabetes,5e-17,0.0495,[0.038-0.061] unit increase,GCST010555,32541925
rs11708067,ADCY5,Type 2 diabetes,2e-46,0.0782,[0.067-0.089] unit decrease,GCST010555,32541925
rs9873519,SLC12A8,Type 2 diabetes,4e-16,0.0375,[0.028-0.047] unit decrease,GCST010555,32541925
rs9828772,PLXND1 - CARMIL2P1,Type 2 diabetes,3e-11,0.0517,[0.036-0.067] unit decrease,GCST010555,32541925
rs62271373,LINC01214,Type 2 diabetes,4e-11,0.0685,[0.048-0.089] unit decrease,GCST010555,32541925
rs74672008,MBNL1 - ATP5MGP5,Type 2 diabetes,1e-11,0.0804,[0.057-0.104] unit increase,GCST010555,32541925
rs1449348,EGFEM1P,Type 2 diabetes,7e-12,0.0448,[0.032-0.058] unit increase,GCST010555,32541925
rs9873618,SLC2A2,Type 2 diabetes,1.9999999999999998e-30,0.0581,[0.048-0.068] unit increase,GCST010555,32541925
rs2313211,ABCC5 - EEF1A1P8,Type 2 diabetes,4e-10,0.0285,[0.019-0.038] unit increase,GCST010555,32541925
rs9854769,IGF2BP2,Type 2 diabetes,1e-107,0.1075,[0.098-0.117] unit increase,GCST010555,32541925
rs3887925,ST6GAL1,Type 2 diabetes,7e-20,0.0424,[0.033-0.051] unit decrease,GCST010555,32541925
rs6777684,LINC01991 - LPP-AS2,Type 2 diabetes,4e-33,0.0569,[0.048-0.066] unit increase,GCST010555,32541925
rs1531583,PCGF3,Type 2 diabetes,7e-19,0.0994,[0.077-0.121] unit decrease,GCST010555,32541925
rs72501964,CTBP1-DT,Type 2 diabetes,2e-10,0.0831,[0.057-0.109] unit increase,GCST010555,32541925
rs56337234,TACC3 - FGFR3,Type 2 diabetes,2e-18,0.0409,[0.032-0.05] unit increase,GCST010555,32541925
rs362307,HTT,Type 2 diabetes,4e-08,0.0499,[0.032-0.068] unit decrease,GCST010555,32541925
rs10937721,WFS1 - PPP2R2C,Type 2 diabetes,5.999999999999999e-70,0.0835,[0.074-0.093] unit decrease,GCST010555,32541925
rs2011603,LCORL - LINC02438,Type 2 diabetes,2e-13,0.0383,[0.028-0.048] unit decrease,GCST010555,32541925
rs10938398,PRDX4P1 - THAP12P9,Type 2 diabetes,4e-20,0.0425,[0.033-0.052] unit decrease,GCST010555,32541925
rs114447556,SPATA18 - RNU6-1252P,Type 2 diabetes,8e-11,0.0578,[0.04-0.075] unit decrease,GCST010555,32541925
rs10471048,SCD5,Type 2 diabetes,2e-12,0.0337,[0.024-0.043] unit increase,GCST010555,32541925
rs987949,LINC02994 - NKX6-1,Type 2 diabetes,6e-09,0.153,[0.1-0.2] unit decrease,GCST010555,32541925
rs7660000,FAM13A,Type 2 diabetes,1e-09,0.0309,[0.021-0.041] unit increase,GCST010555,32541925
rs6821438,SMARCAD1-DT,Type 2 diabetes,4e-10,0.0289,[0.02-0.038] unit decrease,GCST010555,32541925
rs7695096,SLC9B1,Type 2 diabetes,1e-16,0.0381,[0.029-0.047] unit increase,GCST010555,32541925
rs1724557,RNU1-89P - TERF1P3,Type 2 diabetes,5e-08,0.0254,[0.016-0.035] unit increase,GCST010555,32541925
rs7758002,RGS17,Type 2 diabetes,5e-16,0.0317,[0.024-0.039] unit decrease,GCST010557,32541925
